TIMESTAMP,TRACK_ID,OBJECT_TYPE,X,Y,CITY_NAME
315967641.00889146,00000000-0000-0000-0000-000000000000,AV,529.1530013649831,2357.329332343203,MIA
315967641.00889146,00000000-0000-0000-0000-000000016171,OTHERS,437.5047445707203,2351.028790604865,MIA
315967641.00889146,00000000-0000-0000-0000-000000016228,OTHERS,497.6215697777871,2347.7600322804087,MIA
315967641.00889146,00000000-0000-0000-0000-000000016204,OTHERS,566.9381151593118,2334.757913616364,MIA
315967641.00889146,00000000-0000-0000-0000-000000015956,OTHERS,528.4443927298081,2353.9236203682285,MIA
315967641.00889146,00000000-0000-0000-0000-000000016087,OTHERS,556.435586045959,2362.5410446112837,MIA
315967641.00889146,00000000-0000-0000-0000-000000016146,OTHERS,548.7774059663421,2350.367290942084,MIA
315967641.00889146,00000000-0000-0000-0000-000000016187,OTHERS,519.6434825364402,2352.639927723645,MIA
315967641.00889146,00000000-0000-0000-0000-000000016102,OTHERS,542.9113355516232,2354.0539663499803,MIA
315967641.00889146,00000000-0000-0000-0000-000000016001,AGENT,558.757210695437,2360.785625203193,MIA
315967641.00889146,00000000-0000-0000-0000-000000016225,OTHERS,588.4773681088144,2327.799047924519,MIA
315967641.00889146,00000000-0000-0000-0000-000000016195,OTHERS,570.9549279554877,2331.7730789153807,MIA
315967641.00889146,00000000-0000-0000-0000-000000016210,OTHERS,566.242963028491,2344.2060597086647,MIA
315967641.00889146,00000000-0000-0000-0000-000000016226,OTHERS,552.6965299819261,2302.38416374344,MIA
315967641.00889146,00000000-0000-0000-0000-000000016201,OTHERS,566.7436482210533,2336.851080207627,MIA
315967641.00889146,00000000-0000-0000-0000-000000015937,OTHERS,552.7905308810942,2351.000687661053,MIA
315967641.00889146,00000000-0000-0000-0000-000000016206,OTHERS,499.3340053764537,2347.9083064807683,MIA
315967641.00889146,00000000-0000-0000-0000-000000016199,OTHERS,486.3588567175202,2347.220240730493,MIA
315967641.00889146,00000000-0000-0000-0000-000000016214,OTHERS,504.2114291742755,2347.8103096902278,MIA
315967641.00889146,00000000-0000-0000-0000-000000016156,OTHERS,490.1931348428552,2350.6748851150087,MIA
315967641.00889146,00000000-0000-0000-0000-000000016038,OTHERS,549.5519600749549,2354.422904986403,MIA
315967641.00889146,00000000-0000-0000-0000-000000016027,OTHERS,536.0362580273097,2354.2828893321907,MIA
315967641.00889146,00000000-0000-0000-0000-000000016164,OTHERS,471.9179181537871,2346.01864790793,MIA
315967641.00889146,00000000-0000-0000-0000-000000016207,OTHERS,572.1032547667215,2363.305722142245,MIA
315967641.1082819,00000000-0000-0000-0000-000000000000,AV,528.233842220823,2357.248343689622,MIA
315967641.1082819,00000000-0000-0000-0000-000000016171,OTHERS,436.4293149572808,2350.965371297637,MIA
315967641.1082819,00000000-0000-0000-0000-000000016228,OTHERS,498.3730708883807,2347.680215568841,MIA
