Start Training...
Epoch 1/12: Iteration 0, loss = 67.320641
Epoch 1/12: Iteration 100, loss = 1.254340
Epoch 1/12: Iteration 200, loss = 3.300508
Epoch 1/12: Iteration 300, loss = 0.963455
Epoch 1/12: Iteration 400, loss = 0.157459
Epoch 1/12: Iteration 500, loss = 0.214376
Epoch 1/12: Iteration 600, loss = 0.209316
Epoch 1/12: Iteration 700, loss = 0.438823
Epoch 1/12: Iteration 800, loss = 1.285825
Epoch 1/12: Iteration 900, loss = 0.073409
Epoch 1/12: Iteration 1000, loss = 0.256125
Epoch 1/12: Iteration 1100, loss = 0.119738
Epoch 1/12: Iteration 1200, loss = 0.256135
Epoch 1/12: Iteration 1300, loss = 0.233844
Epoch 1/12: Iteration 1400, loss = 0.997901
Epoch 1/12: Iteration 1500, loss = 8.016740
Epoch 1/12: Iteration 1600, loss = 9.255680
Epoch 1/12: Iteration 1700, loss = 0.222941
Epoch 1/12: Iteration 1800, loss = 0.130792
Epoch 1/12: Iteration 1900, loss = 1.271969
Epoch 1/12: Iteration 2000, loss = 1.267022
Epoch 1/12: Iteration 2100, loss = 0.828961
Epoch 1/12: Iteration 2200, loss = 1.249195
Epoch 1/12: Iteration 2300, loss = 0.465762
Epoch 1/12: Iteration 2400, loss = 0.136655
Epoch 1/12: Iteration 2500, loss = 1.697155
Epoch 1/12: Iteration 2600, loss = 0.319768
Epoch 1/12: Iteration 2700, loss = 0.033950
Epoch 1/12: Iteration 2800, loss = 0.107933
Epoch 1/12: Iteration 2900, loss = 2.689523
Epoch 1/12: Iteration 3000, loss = 0.181091
Epoch 1/12: Iteration 3100, loss = 0.451656
Epoch 1/12: Iteration 3200, loss = 0.023874
Epoch 1/12: Iteration 3300, loss = 0.370282
Epoch 1/12: Iteration 3400, loss = 0.312420
Epoch 1/12: Iteration 3500, loss = 0.573240
Epoch 1/12: Iteration 3600, loss = 1.083643
Epoch 1/12: Iteration 3700, loss = 0.554748
Epoch 1/12: Iteration 3800, loss = 0.067998
Epoch 2/12: Iteration 0, loss = 0.138522
Epoch 2/12: Iteration 100, loss = 1.162575
Epoch 2/12: Iteration 200, loss = 0.351580
Epoch 2/12: Iteration 300, loss = 4.159663
Epoch 2/12: Iteration 400, loss = 0.994482
Epoch 2/12: Iteration 500, loss = 0.839031
Epoch 2/12: Iteration 600, loss = 3.807463
Epoch 2/12: Iteration 700, loss = 0.128285
Epoch 2/12: Iteration 800, loss = 0.078952
Epoch 2/12: Iteration 900, loss = 0.141669
Epoch 2/12: Iteration 1000, loss = 1.670344
Epoch 2/12: Iteration 1100, loss = 0.200492
Epoch 2/12: Iteration 1200, loss = 0.884555
Epoch 2/12: Iteration 1300, loss = 0.501940
Epoch 2/12: Iteration 1400, loss = 0.936645
Epoch 2/12: Iteration 1500, loss = 0.551749
Epoch 2/12: Iteration 1600, loss = 0.492365
