Start Training...
Epoch 1/3: Iteration 0, loss = 57.651035
Epoch 1/3: Iteration 100, loss = 6.048279
Epoch 1/3: Iteration 200, loss = 0.818261
Epoch 1/3: Iteration 300, loss = 0.273638
Epoch 1/3: Iteration 400, loss = 0.335623
Epoch 1/3: Iteration 500, loss = 0.475339
Epoch 1/3: Iteration 600, loss = 0.458123
Epoch 1/3: Iteration 700, loss = 0.275578
Epoch 1/3: Iteration 800, loss = 0.342663
Epoch 1/3: Iteration 900, loss = 0.266197
Epoch 1/3: Iteration 1000, loss = 0.050728
Epoch 1/3: Iteration 1100, loss = 0.073772
Epoch 1/3: Iteration 1200, loss = 0.351231
Epoch 1/3: Iteration 1300, loss = 1.608701
Epoch 1/3: Iteration 1400, loss = 0.299374
Epoch 1/3: Iteration 1500, loss = 0.303867
Epoch 1/3: Iteration 1600, loss = 0.666357
Epoch 1/3: Iteration 1700, loss = 0.173167
Epoch 1/3: Iteration 1800, loss = 6.536100
Epoch 1/3: Iteration 1900, loss = 3.203842
Epoch 1/3: Iteration 2000, loss = 3.438854
Epoch 1/3: Iteration 2100, loss = 0.873307
Epoch 1/3: Iteration 2200, loss = 0.466567
Epoch 1/3: Iteration 2300, loss = 0.010100
Epoch 1/3: Iteration 2400, loss = 4.648582
Epoch 1/3: Iteration 2500, loss = 0.121006
Epoch 1/3: Iteration 2600, loss = 0.113362
Epoch 1/3: Iteration 2700, loss = 0.064228
Epoch 1/3: Iteration 2800, loss = 0.185626
Epoch 1/3: Iteration 2900, loss = 1.105940
Epoch 1/3: Iteration 3000, loss = 0.947897
Epoch 1/3: Iteration 3100, loss = 0.286860
Epoch 1/3: Iteration 3200, loss = 0.290722
Epoch 1/3: Iteration 3300, loss = 0.286590
Epoch 1/3: Iteration 3400, loss = 0.483382
Epoch 1/3: Iteration 3500, loss = 0.405840
Epoch 1/3: Iteration 3600, loss = 0.339006
Epoch 1/3: Iteration 3700, loss = 0.303106
Epoch 1/3: Iteration 3800, loss = 0.091607
Save model ./model_ckpt/model_epoch1.pth
Epoch 2/3: Iteration 0, loss = 0.056062
Epoch 2/3: Iteration 100, loss = 0.253760
Epoch 2/3: Iteration 200, loss = 0.041391
Epoch 2/3: Iteration 300, loss = 0.640781
Epoch 2/3: Iteration 400, loss = 0.090251
Epoch 2/3: Iteration 500, loss = 2.116528
Epoch 2/3: Iteration 600, loss = 0.225381
Epoch 2/3: Iteration 700, loss = 0.288248
Epoch 2/3: Iteration 800, loss = 0.141750
Epoch 2/3: Iteration 900, loss = 0.011545
Epoch 2/3: Iteration 1000, loss = 0.070883
Epoch 2/3: Iteration 1100, loss = 10.469151
Epoch 2/3: Iteration 1200, loss = 0.719221
Epoch 2/3: Iteration 1300, loss = 0.898630
Epoch 2/3: Iteration 1400, loss = 0.537224
Epoch 2/3: Iteration 1500, loss = 16.239983
Epoch 2/3: Iteration 1600, loss = 0.197166
Epoch 2/3: Iteration 1700, loss = 0.095441
Epoch 2/3: Iteration 1800, loss = 0.450539
Epoch 2/3: Iteration 1900, loss = 0.067141
Epoch 2/3: Iteration 2000, loss = 0.350346
Epoch 2/3: Iteration 2100, loss = 0.116269
Epoch 2/3: Iteration 2200, loss = 0.470097
Epoch 2/3: Iteration 2300, loss = 0.155640
Epoch 2/3: Iteration 2400, loss = 0.043407
Epoch 2/3: Iteration 2500, loss = 0.932227
Epoch 2/3: Iteration 2600, loss = 0.034985
Epoch 2/3: Iteration 2700, loss = 0.019121
Epoch 2/3: Iteration 2800, loss = 0.267857
Epoch 2/3: Iteration 2900, loss = 0.129182
Epoch 2/3: Iteration 3000, loss = 0.234906
Epoch 2/3: Iteration 3100, loss = 0.120865
Epoch 2/3: Iteration 3200, loss = 0.108288
Epoch 2/3: Iteration 3300, loss = 0.085014
Epoch 2/3: Iteration 3400, loss = 0.309116
Epoch 2/3: Iteration 3500, loss = 0.134879
Epoch 2/3: Iteration 3600, loss = 0.040582
Epoch 2/3: Iteration 3700, loss = 0.108933
Epoch 2/3: Iteration 3800, loss = 0.074524
Save model ./model_ckpt/model_epoch2.pth
Epoch 3/3: Iteration 0, loss = 0.509909
Epoch 3/3: Iteration 100, loss = 0.361716
Epoch 3/3: Iteration 200, loss = 2.567236
Epoch 3/3: Iteration 300, loss = 0.018121
Epoch 3/3: Iteration 400, loss = 0.130468
Epoch 3/3: Iteration 500, loss = 3.345700
Epoch 3/3: Iteration 600, loss = 0.732694
Epoch 3/3: Iteration 700, loss = 0.364119
Epoch 3/3: Iteration 800, loss = 0.387638
Epoch 3/3: Iteration 900, loss = 0.041526
Epoch 3/3: Iteration 1000, loss = 0.290045
Epoch 3/3: Iteration 1100, loss = 0.043994
Epoch 3/3: Iteration 1200, loss = 0.341656
Epoch 3/3: Iteration 1300, loss = 0.211367
Epoch 3/3: Iteration 1400, loss = 0.208310
Epoch 3/3: Iteration 1500, loss = 0.137275
Epoch 3/3: Iteration 1600, loss = 1.271345
Epoch 3/3: Iteration 1700, loss = 0.141600
Epoch 3/3: Iteration 1800, loss = 0.699808
Epoch 3/3: Iteration 1900, loss = 0.322987
Epoch 3/3: Iteration 2000, loss = 0.183248
Epoch 3/3: Iteration 2100, loss = 0.062307
Epoch 3/3: Iteration 2200, loss = 0.032821
Epoch 3/3: Iteration 2300, loss = 0.122848
Epoch 3/3: Iteration 2400, loss = 0.034305
Epoch 3/3: Iteration 2500, loss = 0.292283
Epoch 3/3: Iteration 2600, loss = 0.456097
Epoch 3/3: Iteration 2700, loss = 0.107300
Epoch 3/3: Iteration 2800, loss = 1.083268
Epoch 3/3: Iteration 2900, loss = 0.058881
Epoch 3/3: Iteration 3000, loss = 2.599749
Epoch 3/3: Iteration 3100, loss = 0.053899
Epoch 3/3: Iteration 3200, loss = 0.247743
